mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
DF,CNN,CBF,0.25,120,128,False,10,3,1,0.0001,0,False,4,120,training/finetune/CBF_DF_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=116-step=33696-v1.ckpt,117348,117348,training/finetune/CBF_DF_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.5172638297080994,0.5172638297080994,0.2922438979148865,0.4968125522136688,0.4968125522136688,0.2862425744533539,32,32,2,4,200,384,384,24.024260494858027,31818.055129928514,31842.07939042337,
DF,CNN,CBF,0.25,120,128,False,10,5,1,0.0001,0,False,4,120,training/finetune/CBF_DF_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=82-step=23904.ckpt,117348,117348,training/finetune/CBF_DF_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.6316089630126953,0.6316089630126953,0.3725373148918152,0.6134877800941467,0.6134877800941467,0.3375169038772583,32,32,2,4,200,384,384,28.041444960981607,32150.279035925865,32178.320480886847,
DF,CNN,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,4,120,training/finetune/CBF_DF_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=64-step=18720.ckpt,117348,117348,training/finetune/CBF_DF_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.689486563205719,0.689486563205719,0.4195188283920288,0.6723334193229675,0.6723334193229675,0.3849600255489349,32,32,2,4,200,384,384,17.86679475568235,32422.391470139846,32440.25826489553,
DF,CNN,CBF,0.25,120,128,False,10,1,1,0.0001,0,False,4,120,training/finetune/CBF_DF_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=16-step=4896.ckpt,117348,117348,training/finetune/CBF_DF_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.4555962681770324,0.4555962681770324,0.2961649298667907,0.4151393175125122,0.4151393175125122,0.2333208918571472,32,32,2,4,200,384,384,24.910442866384983,40097.79904072918,40122.709483595565,
DF,CNN,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,4,120,training/finetune/CBF_DF_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=10-step=3168.ckpt,117348,117348,training/finetune/CBF_DF_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.7278728485107422,0.7278728485107422,0.4077924787998199,0.6989306211471558,0.6989306211471558,0.4044413566589355,32,32,2,4,200,384,384,16.337009884417057,7183.662563340738,7199.999573225156,False
DF,CNN,CBF,0.25,120,128,False,10,7,5,0.0001,0,False,4,120,training/finetune/CBF_DF_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst5_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=90-step=26208.ckpt,117348,117348,training/finetune/CBF_DF_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst5_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.6799510717391968,0.6799510717391968,0.3848862051963806,0.6545888781547546,0.6545888781547546,0.3855576813220978,32,32,2,4,200,384,384,17.119424043223262,5183.942883044481,5201.0623070877045,
DF,CNN,CBF,0.25,120,128,False,10,7,2,0.0001,0,False,4,120,training/finetune/CBF_DF_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst2_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=83-step=24192.ckpt,117348,117348,training/finetune/CBF_DF_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst2_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.70562344789505,0.70562344789505,0.4271690249443054,0.6967370510101318,0.6967370510101318,0.4103542566299438,32,32,2,4,200,384,384,16.734511783346534,6049.587923401967,6066.322435185313,
DF,CNN,CBF,0.25,120,128,False,10,7,3,0.0001,0,False,4,120,training/finetune/CBF_DF_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst3_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=95-step=27648.ckpt,117348,117348,training/finetune/CBF_DF_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst3_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.6981254816055298,0.6981254816055298,0.4104610681533813,0.6825962662696838,0.6825962662696838,0.4016185104846954,32,32,2,4,200,384,384,17.502777084708214,5776.787830771878,5794.290607856587,
DF,CNN,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,4,120,training/finetune/CBF_DF_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=15-step=4608.ckpt,117348,117348,training/finetune/CBF_DF_CNN/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.7365118265151978,0.7365118265151978,0.4257676005363464,0.7139331698417664,0.7139331698417664,0.4146936237812042,32,32,2,4,200,384,384,16.560103714466095,7383.129915628582,7399.690019343048,True
DF,CNN,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,4,120,training/finetune/CBF_DF_CNN/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/checkpoints/epoch=119-step=8640.ckpt,117348,117348,training/finetune/CBF_DF_CNN/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv4/metrics.csv,0.626719057559967,0.626719057559967,0.2896284461021423,0.5911434888839722,0.5911434888839722,0.3483715951442718,32,8,2,4,96,96,384,16.971575636416674,1132.4095238465816,1149.3810994829985,
