mode,arch,dataset,val_size,max_epochs,batch_size,pretrain_mode,window_length,window_time_stride,window_patt_stride,learning_rate,random_state,pretrained,cv_rep,nepochs,best_model,total_params,trainable_params,metrics_csv,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,exc,train_exc_limit,train_strat_size,train_event_mult,nevents_test,nevents_train_lim,nevents_train_tot,time_dm,time_train,time_total,stride_series
DF,ResNet,CBF,0.25,120,128,False,10,3,1,0.0001,0,False,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=22-step=6624.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst3_wpst1_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.5547231435775757,0.5547231435775757,0.2921570837497711,0.538699209690094,0.538699209690094,0.3029227256774902,32,32,2,4,200,384,384,18.15676941163838,42078.51677616872,42096.67354558036,
DF,ResNet,CBF,0.25,120,128,False,10,5,1,0.0001,0,False,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=52-step=15264.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst5_wpst1_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.6197963356971741,0.6197963356971741,0.3287201523780823,0.6253865361213684,0.6253865361213684,0.3618810176849365,32,32,2,4,200,384,384,16.134394273161888,38561.0265075136,38577.16090178676,
DF,ResNet,CBF,0.25,120,128,False,10,1,1,0.0001,0,False,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=66-step=19296.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst1_wpst1_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.4671550691127777,0.4671550691127777,0.2920249700546264,0.4671147763729095,0.4671147763729095,0.2690271139144897,32,32,2,4,200,384,384,16.804345216602087,47870.49542830326,47887.29977351986,
DF,ResNet,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=75-step=21888-v1.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.6383048295974731,0.6383048295974731,0.3573907911777496,0.6576050519943237,0.6576050519943237,0.4038021862506866,32,32,2,4,200,384,384,17.39403302408755,39316.165738232434,39333.55977125652,
DF,ResNet,CBF,0.25,120,128,False,10,7,5,0.0001,0,False,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst5_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=19-step=5760.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst5_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.6540342569351196,0.6540342569351196,0.3661385774612427,0.6621881127357483,0.6621881127357483,0.4002446234226227,32,32,2,4,200,384,384,16.962670475244522,10865.956337668002,10882.919008143246,
DF,ResNet,CBF,0.25,120,128,False,10,7,3,0.0001,0,False,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst3_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=28-step=8352.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst3_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.6546047329902649,0.6546047329902649,0.35652756690979,0.6422500014305115,0.6422500014305115,0.3879041671752929,32,32,2,4,200,384,384,16.300431840121746,14988.91946794279,15005.219899782913,
DF,ResNet,CBF,0.25,120,128,False,10,7,2,0.0001,0,False,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst2_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=56-step=16416.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst2_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.67000812292099,0.67000812292099,0.3694815039634704,0.6986956000328064,0.6986956000328064,0.4097857773303985,32,32,2,4,200,384,384,16.603011587634683,19433.335882689804,19449.93889427744,
DF,ResNet,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=88-step=25632-v1.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.6788101196289062,0.6788101196289062,0.3914386928081512,0.7151474952697754,0.7151474952697754,0.4154711067676544,32,32,2,4,200,384,384,29.164545329287648,43288.026252938434,43317.19079826772,False
DF,ResNet,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0/checkpoints/epoch=106-step=30816.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev32_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0/metrics.csv,0.6820700764656067,0.6820700764656067,0.3927779793739319,0.7100943922996521,0.7100943922996521,0.4105025827884674,32,32,2,4,200,384,384,16.96811136417091,37157.19987029582,37174.16798165999,True
DF,ResNet,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=91-step=6624.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6313031911849976,0.6313031911849976,0.2853631675243377,0.5392485857009888,0.5392485857009888,0.3200966417789459,32,8,2,4,96,96,384,16.621208844706416,8501.556862132624,8518.17807097733,
DF,ResNet,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=103-step=7488.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6840209364891052,0.6840209364891052,0.2794890403747558,0.6375542283058167,0.6375542283058167,0.3536554276943207,32,8,2,4,96,96,384,16.315407341346145,9840.487385291606,9856.802792632952,False
DF,ResNet,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=31-step=2304.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev8_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6787819266319275,0.6787819266319275,0.2954037189483642,0.5623311996459961,0.5623311996459961,0.3318350315093994,32,8,2,4,96,96,384,17.18492927029729,10201.26686815545,10218.451797425749,True
DF,ResNet,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=107-step=15552.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6217760443687439,0.6217760443687439,0.254063993692398,0.6006937623023987,0.6006937623023987,0.3846540451049804,32,16,2,4,192,192,384,32.05982420966029,76478.49915479682,76510.55897900648,
DF,ResNet,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=11-step=1728.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7100881338119507,0.7100881338119507,0.2987181544303894,0.6905121207237244,0.6905121207237244,0.4095770120620727,32,16,2,4,192,192,384,39.89890859648585,117868.33295686357,117908.23186546004,False
DF,ResNet,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=22-step=3312.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev16_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.6691152453422546,0.6691152453422546,0.278347760438919,0.6615384817123413,0.6615384817123413,0.4005926251411438,32,16,2,4,192,192,384,34.48352687060833,119645.64002432115,119680.12355119176,True
DF,ResNet,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev2_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=27-step=504.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev2_tstrat2_tmult4_ststest200_wlen10_stride1_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.4199999868869781,0.4199999868869781,0.3273409903049469,0.4361879229545593,0.4361879229545593,0.2067314088344574,32,2,2,4,24,24,384,33.54882104694843,2445.689642403275,2479.238463450223,True
DF,ResNet,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev2_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=2-step=54.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev2_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.4426666796207428,0.4426666796207428,0.3087228238582611,0.4691769480705261,0.4691769480705261,0.2264187932014465,32,2,2,4,24,24,384,25.308385292068124,6246.9489287287,6272.257314020768,False
DF,ResNet,CBF,0.25,120,128,False,10,7,1,0.0001,0,False,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev2_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=60-step=1098.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev2_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.4600000083446502,0.4600000083446502,0.2949315309524536,0.3845385015010834,0.3845385015010834,0.1956405788660049,32,2,2,4,24,24,384,31.91598639637232,7223.682143520564,7255.598129916936,
DF,ResNet,CBF,0.25,120,128,False,10,7,1,0.0001,0,True,1,120,training/finetune/CBF_DF_ResNet/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/checkpoints/epoch=40-step=1476.ckpt,475124,475124,training/finetune/CBF_DF_ResNet/logs/exc32_avev4_tstrat2_tmult4_ststest200_wlen10_stride0_wtst7_wpst1_val0.25_me120_bs128_lr0.0001_rs0_cv1/metrics.csv,0.7180500626564026,0.7180500626564026,0.2946141064167022,0.5654536485671997,0.5654536485671997,0.3429938852787018,32,4,2,4,48,48,384,16.596125788986683,4626.913146536797,4643.509272325784,False
