dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
CBF,CNN,DF,False,4,0,128,True,5,1,1,32,4,384,0,0,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw5_wts1_wps1/checkpoints/epoch=118-step=27489.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw5_wts1_wps1/metrics.csv,118,0.5159731507301331,0.507915198802948,0.5159731507301331,0.507915198802948,0.6940622925758362,0.6665836572647095,,,,,
CBF,CNN,DF,True,4,0,128,True,5,1,1,32,4,384,8,768,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw5_wts1_wps1_pre/checkpoints/epoch=3-step=924.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw5_wts1_wps1_pre/metrics.csv,3,0.4674432873725891,0.4580637216567993,0.4674432873725891,0.4580637216567993,0.6356799006462097,0.6452270746231079,0.9655876159667969,0.004880023188889027,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw5_wts1_wps1_pre/checkpoints/epoch=3-step=924.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw5_wts1_wps1_pre/metrics.csv,58
CBF,CNN,DF,False,4,0,128,True,10,1,1,32,4,384,0,0,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw10_wts1_wps1/checkpoints/epoch=95-step=22176.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw10_wts1_wps1/metrics.csv,95,0.5440069437026978,0.4968356490135193,0.5440069437026978,0.4968356490135193,0.7072620391845703,0.6660961508750916,,,,,
CBF,CNN,DF,True,4,0,128,True,10,1,1,32,4,384,8,768,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw10_wts1_wps1_pre/checkpoints/epoch=18-step=4389.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw10_wts1_wps1_pre/metrics.csv,18,0.4960826337337494,0.4697909951210022,0.4960826337337494,0.4697909951210022,0.7320135235786438,0.7047604918479919,0.8540836572647095,0.2213561087846756,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw10_wts1_wps1_pre/checkpoints/epoch=18-step=4389.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw10_wts1_wps1_pre/metrics.csv,59
CBF,CNN,DF,False,4,0,128,True,15,1,1,32,4,384,0,0,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw15_wts1_wps1/checkpoints/epoch=23-step=5544.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw15_wts1_wps1/metrics.csv,23,0.4991859197616577,0.4702254831790924,0.4991859197616577,0.4702254831790924,0.6685307025909424,0.6320897936820984,,,,,
CBF,CNN,DF,True,4,0,128,True,15,1,1,32,4,384,8,768,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw15_wts1_wps1_pre/checkpoints/epoch=31-step=7392.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw15_wts1_wps1_pre/metrics.csv,31,0.6094433665275574,0.5836657285690308,0.6094433665275574,0.5836657285690308,0.7796514630317688,0.7424408793449402,0.7862565517425537,0.3400763273239136,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw15_wts1_wps1_pre/checkpoints/epoch=31-step=7392.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw15_wts1_wps1_pre/metrics.csv,59
CBF,CNN,DF,False,4,0,128,True,5,2,1,32,4,384,0,0,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw_5_wts2_wps1/checkpoints/epoch=116-step=27027.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw_5_wts2_wps1/metrics.csv,116,0.5421245694160461,0.5281740427017212,0.5421245694160461,0.5281740427017212,0.7106022834777832,0.6748628616333008,,,,,
CBF,CNN,DF,True,4,0,128,True,5,2,1,32,4,384,8,768,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw_5_ts2_ps1_pre_st/checkpoints/epoch=90-step=21021.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw_5_ts2_ps1_pre_st/metrics.csv,90,0.48946887254714966,0.45916852355003357,0.48946887254714966,0.45916852355003357,0.6849229335784912,0.6494231820106506,0.8094208240509033,0.30065929889678955,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw_5_ts2_ps1_pre_st/checkpoints/epoch=90-step=21021.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw_5_ts2_ps1_pre_st/metrics.csv,58
CBF,CNN,DF,True,4,0,128,False,5,2,1,32,4,384,8,768,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw5_wts2_wps1_pre_nst/checkpoints/epoch=18-step=4389.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw5_wts2_wps1_pre_nst/metrics.csv,18,0.5801790952682495,0.5769317150115967,0.5801790952682495,0.5769317150115967,0.766169548034668,0.7532278895378113,1.0104848146438599,-0.0898972600698471,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw5_wts2_wps1_pre_nst/checkpoints/epoch=18-step=4389.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw5_wts2_wps1_pre_nst/metrics.csv,58
CBF,CNN,DF,False,4,0,128,True,5,3,1,32,4,384,0,0,4,384,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw_5_wts3_wps1/checkpoints/epoch=119-step=27720.ckpt,training/2023-03-29_20-26_EXP_wdw_DF_CNN_CBF_f4/logs/wdw_5_wts3_wps1/metrics.csv,119,0.5540856719017029,0.5241574645042419,0.5540856719017029,0.5241574645042419,0.7241232991218567,0.6934530138969421,,,,,
