dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc
CBF,ResNet,TS,False,3,0,128,True,5,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/0_wdw5/checkpoints/epoch=0-step=231.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/0_wdw5/metrics.csv,0,0.3385898768901825,0.3396817743778229,0.3385898768901825,0.3396817743778229,0.491339772939682,0.47726690769195557
CBF,ResNet,TS,False,3,0,128,True,10,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/1_wdw10/checkpoints/epoch=94-step=21945.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/1_wdw10/metrics.csv,94,0.3879222571849823,0.34339961409568787,0.3879222571849823,0.34339961409568787,0.5517531037330627,0.5157598853111267
CBF,ResNet,TS,False,3,0,128,True,15,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/2_wdw15/checkpoints/epoch=60-step=14091.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/2_wdw15/metrics.csv,60,0.4243411123752594,0.40967926383018494,0.4243411123752594,0.40967926383018494,0.5572808384895325,0.5518236756324768
CBF,ResNet,TS,False,3,0,128,True,20,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/3_wdw20/checkpoints/epoch=19-step=4620.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/3_wdw20/metrics.csv,19,0.48183390498161316,0.4409232437610626,0.48183390498161316,0.4409232437610626,0.6640768051147461,0.6135393381118774
CBF,ResNet,TS,False,3,0,128,True,25,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/4_wdw25/checkpoints/epoch=32-step=7623.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/4_wdw25/metrics.csv,32,0.49704834818840027,0.4321133494377136,0.49704834818840027,0.4321133494377136,0.7037641406059265,0.6515243649482727
CBF,ResNet,TS,False,3,0,128,True,30,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/5_wdw30/checkpoints/epoch=79-step=18480.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/5_wdw30/metrics.csv,79,0.5061075091362,0.4570753872394562,0.5061075091362,0.4570753872394562,0.6691672205924988,0.6328677535057068
CBF,ResNet,TS,False,3,0,128,True,40,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/6_wdw40/checkpoints/epoch=43-step=10164.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/6_wdw40/metrics.csv,43,0.5269293189048767,0.49605995416641235,0.5269293189048767,0.49605995416641235,0.7214354872703552,0.6662653088569641
CBF,ResNet,TS,False,3,0,128,True,45,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/7_wdw45/checkpoints/epoch=56-step=13167.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/7_wdw45/metrics.csv,56,0.5342633128166199,0.4997556209564209,0.5342633128166199,0.4997556209564209,0.7305862307548523,0.6848543286323547
CBF,ResNet,TS,False,3,0,128,True,50,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/8_wdw50/checkpoints/epoch=67-step=15708.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/8_wdw50/metrics.csv,67,0.564460277557373,0.5302743315696716,0.564460277557373,0.5302743315696716,0.7484345436096191,0.6966671943664551
CBF,ResNet,TS,False,3,0,128,True,60,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/9_wdw60/checkpoints/epoch=42-step=9933.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/9_wdw60/metrics.csv,42,0.5286208987236023,0.5423193573951721,0.5286208987236023,0.5423193573951721,0.6962001919746399,0.6863273978233337
CBF,ResNet,TS,False,3,0,128,True,75,1,1,32,4,384,0,0,4,384,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/10_wdw75/checkpoints/epoch=3-step=924.ckpt,training/2023-04-11_13-53_EXP_wlen_TS_ResNet_CBF_f3/logs/10_wdw75/metrics.csv,3,0.5895568132400513,0.586783766746521,0.5895568132400513,0.586783766746521,0.7634553909301758,0.7193486094474792
