dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
CBF,CNN,DF,False,3,0,128,True,5,2,1,32,4,384,0,0,4,384,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/00_wdw5_wts2/checkpoints/epoch=74-step=17325.ckpt,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/00_wdw5_wts2/metrics.csv,74,0.46596458554267883,0.47375917434692383,0.46596458554267883,0.47375917434692383,0.6490048766136169,0.6477918028831482,,,,,
CBF,CNN,DF,True,3,0,128,True,5,2,1,32,4,384,8,768,4,384,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/00_wdw5_wts2_pre_str/checkpoints/epoch=92-step=21483.ckpt,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/00_wdw5_wts2_pre_str/metrics.csv,92,0.5590659379959106,0.564844012260437,0.5590659379959106,0.564844012260437,0.7569983601570129,0.7399848103523254,0.9058111906051636,0.0405452623963356,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/00_wdw5_wts2_pre_str/checkpoints/epoch=92-step=21483.ckpt,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/00_wdw5_wts2_pre_str/metrics.csv,59
CBF,CNN,DF,True,3,0,128,False,5,2,1,32,4,384,8,768,4,384,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/00_wdw5_wts2_pre_nstr/checkpoints/epoch=58-step=13629.ckpt,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/00_wdw5_wts2_pre_nstr/metrics.csv,58,0.5820105671882629,0.5574774742126465,0.5820105671882629,0.5574774742126465,0.7528867125511169,0.7239206433296204,0.8648550510406494,0.12539105117321014,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/00_wdw5_wts2_pre_nstr/checkpoints/epoch=58-step=13629.ckpt,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/00_wdw5_wts2_pre_nstr/metrics.csv,58
CBF,CNN,DF,False,3,0,128,False,5,3,1,32,4,384,0,0,4,384,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/01_wdw5_wts3/checkpoints/epoch=101-step=23562.ckpt,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/01_wdw5_wts3/metrics.csv,101,0.4845324158668518,0.48390182852745056,0.4845324158668518,0.48390182852745056,0.633693277835846,0.6342846751213074,,,,,
CBF,CNN,DF,True,3,0,128,True,5,3,1,32,4,384,8,768,4,384,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/01_wdw5_wts3_pre_str/checkpoints/epoch=21-step=5082.ckpt,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/01_wdw5_wts3_pre_str/metrics.csv,21,0.5323089361190796,0.5320538878440857,0.5323089361190796,0.5320538878440857,0.7141385078430176,0.7076857089996338,0.8902809619903564,0.07292413711547852,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/01_wdw5_wts3_pre_str/checkpoints/epoch=21-step=5082.ckpt,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/01_wdw5_wts3_pre_str/metrics.csv,59
CBF,CNN,DF,True,3,0,128,False,5,3,1,32,4,384,8,768,4,384,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/01_wdw5_wts3_pre_nstr/checkpoints/epoch=43-step=10164.ckpt,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/01_wdw5_wts3_pre_nstr/metrics.csv,43,0.5397883653640747,0.5465646386146545,0.5397883653640747,0.5465646386146545,0.7190034985542297,0.7237926125526428,0.9202632308006287,0.009481302462518215,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/01_wdw5_wts3_pre_nstr/checkpoints/epoch=43-step=10164.ckpt,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/01_wdw5_wts3_pre_nstr/metrics.csv,59
CBF,CNN,DF,False,3,0,128,False,5,4,1,32,4,384,0,0,4,384,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/02_wdw5_wts4/checkpoints/epoch=18-step=4389.ckpt,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/02_wdw5_wts4/metrics.csv,18,0.4722674489021301,0.4499399662017822,0.4722674489021301,0.4499399662017822,0.6422340869903564,0.6240165829658508,,,,,
CBF,CNN,DF,True,3,0,128,True,5,4,1,32,4,384,8,768,4,384,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/02_wdw5_wts4_pre_str/checkpoints/epoch=39-step=9240.ckpt,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/02_wdw5_wts4_pre_str/metrics.csv,39,0.5878282189369202,0.5874905586242676,0.5878282189369202,0.5874905586242676,0.7612029910087585,0.7554552555084229,0.8677429556846619,0.11906206607818604,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/02_wdw5_wts4_pre_str/checkpoints/epoch=39-step=9240.ckpt,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/02_wdw5_wts4_pre_str/metrics.csv,57
CBF,CNN,DF,True,3,0,128,False,5,4,1,32,4,384,8,768,4,384,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/02_wdw5_wts4_pre_nstr/checkpoints/epoch=85-step=19866.ckpt,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/02_wdw5_wts4_pre_nstr/metrics.csv,85,0.5700182914733887,0.5862082839012146,0.5700182914733887,0.5862082839012146,0.7534580826759338,0.7596244812011719,0.9476710557937622,-0.05052826926112175,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/02_wdw5_wts4_pre_nstr/checkpoints/epoch=85-step=19866.ckpt,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/02_wdw5_wts4_pre_nstr/metrics.csv,48
CBF,CNN,DF,False,3,0,128,False,5,5,1,32,4,384,0,0,4,384,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/03_wdw5_wts5/checkpoints/epoch=87-step=20328.ckpt,training/2023-04-14_17-55_EXP_wtst_DF_CNN_CBF_f3/logs/03_wdw5_wts5/metrics.csv,87,0.4615267217159271,0.4806823134422302,0.4615267217159271,0.4806823134422302,0.617908775806427,0.6404121518135071,,,,,
